Name,Recom_CPU_Max_Temp,Min_CPU_Lithography,Min_CPU_Physical_Cores,Recom_CPU_CPU_Speed,Recom_CPU_Lithography,Min_GPU_Memory,Min_GPU_Memory_Speed,Min_GPU_Direct_X,Min_GPU_Pixel_Rate,Min_GPU_Texture_Rate,Min_GPU_Memory_Bandwidth,Min_OS_Coded,Recom_OS_Coded,Min_HDD_Coded,Recom_HDD_Coded,Min_DirectX_coded
The Legend of Heroes: Trails into Reverie,35.5,38.5,3.0,3.1,23.0,1024.0,1237.5,11.1,15.5,49.5,79.2,764,1064,25.0,25.0,11
Rigid Boy 2,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Blue Fire,69.5,33.5,2.5,2.9,38.5,2048.0,1012.5,12.0,11.5,24.5,50.4,764,764,6.0,6.0,11
Iron Front: Liberation 1944,72.0,65.0,2.0,3.03,38.5,128.0,350.0,10.05,2.0,4.5,11.2,132,132,10.0,20.0,9
Shadwen,35.5,43.5,2.0,3.03,38.5,704.0,949.5,10.05,14.0,35.5,113.55,232,764,4.0,4.0,10
Spaceland,30.5,55.0,2.0,2.8,55.0,1024.0,1112.5,11.0,18.0,31.5,87.6,764,1064,1.0,1.0,11
Pid,39.0,155.0,1.0,1.75,65.0,256.0,250.0,10.0,2.5,4.0,4.0,132,132,3.0,3.0,9
Minecraft: Dungeons,36.5,33.5,3.0,3.75,27.0,2048.0,1351.0,11.1,28.5,81.5,148.89999999999998,764,1064,6.0,6.0,11
Offworld Trading Company,66.5,33.5,2.5,3.1,45.0,416.0,596.0,10.05,7.5,15.5,38.1,764,864,2.0,2.0,10
Halo 4,50.0,36.5,4.0,3.1,14.0,1024.0,1026.0,11.1,10.5,25.0,65.65,732,1064,55.0,55.0,11
Alchemist Simulator,36.5,27.0,3.0,3.35,27.0,2048.0,1351.0,11.1,28.5,81.5,148.89999999999998,764,1064,5.0,5.0,9
DuckTales: Remastered,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,3.0,3.0,9
Tomb Raider Definitive Survival Trilogy,36.5,27.0,3.0,3.35,18.0,2048.0,1563.5,12.05,39.0,83.5,144.05,764,1064,40.0,40.0,11
Marlow Briggs And The Mask Of Death,71.0,77.5,2.0,2.65,45.0,0.0,400.0,10.05,2.0,3.0,0.0,732,732,3.0,3.0,9
Secret Weapons Over Normandy,0.0,180.0,1.0,2.2235,130.0,128.0,600.0,10.0,2.0,3.0,3.2,132,132,1.0,1.0,9
The Walking Dead: Season 2 - Episode 2: A House Divided,36.5,155.0,1.0,2.5,65.0,256.0,200.0,10.1,2.0,2.0,3.2,132,732,2.0,2.0,9
Mafia 3: Definitive Edition,52.5,32.0,6.0,3.7,27.0,2048.0,1351.0,11.1,28.5,81.5,148.89999999999998,764,764,50.0,50.0,11
Woven,0.0,14.0,4.0,3.15,14.0,2560.0,1376.0,11.1,25.0,100.0,192.1,732,1064,2.0,2.0,11
RambleRumble,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Grimm Ep 9 - The Master Thief,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
South Park: The Fractured But Whole - Relics of Zaron,36.5,32.0,4.0,3.75,27.0,2048.0,1225.0,11.1,22.5,44.5,116.8,764,764,30.0,30.0,11
Phantom Doctrine,36.5,45.0,4.0,3.35,32.0,1536.0,1275.0,11.1,21.5,57.0,120.0,764,1064,20.0,20.0,11
Nightmares from the Deep: The Cursed Heart,0.0,90.0,1.0,1.83,155.0,320.0,550.0,9.5,1.0,2.5,6.8,132,132,1.0,1.0,9
Endless Memories,70.0,55.0,2.0,2.85,38.5,768.0,899.0,11.05,3.0,6.0,21.6,764,1064,2.0,2.0,11
Final Fantasy XIV Online,65.0,65.0,2.0,2.78,45.0,512.0,864.0,10.0,10.0,21.5,74.6,132,732,15.0,21.0,9
Atlantica Online,0.0,180.0,1.0,1.875,130.0,128.0,310.0,9.0,1.0,1.0,7.75,200,232,15.0,20.0,9
Hitman 3,36.5,38.5,4.0,3.4000000000000004,18.0,2048.0,1351.0,11.1,28.5,81.5,148.89999999999998,1064,1064,80.0,80.0,12
Dead Effect 2,52.5,32.0,5.0,3.7,27.0,2048.0,1313.5,11.1,24.5,69.5,132.15,764,764,11.0,11.0,9
Tom Clancy Splinter Cell: Conviction,66.5,77.5,1.5,1.95,65.0,256.0,650.0,9.0,0.0,0.0,41.6,132,132,10.0,10.0,9
Dead GroundZ,36.5,27.0,6.0,3.4000000000000004,18.0,4096.0,1751.5,12.0,53.5,152.5,224.2,764,1064,4.0,4.0,11
Party Hard 2,64.0,38.5,2.0,3.25,32.0,896.0,1025.0,10.5,12.5,21.5,80.0,164,164,6.0,6.0,9
Overlord 2,61.0,65.0,2.0,1.86,65.0,384.0,750.0,9.5,1.5,3.0,36.8,132,0,1.5,1.5,9
Skylanders: Giants,36.0,77.5,2.0,2.6,55.0,128.0,600.0,10.0,2.0,3.0,3.2,132,764,3.0,3.0,9
10 Second Ninja,66.5,155.0,1.0,2.1,77.5,256.0,600.0,10.0,3.0,7.0,19.2,132,132,0.0,0.0,9
Food Truck Simulator,35.5,33.5,3.0,3.0,23.0,2048.0,1351.0,11.1,28.5,81.5,148.89999999999998,764,1064,15.0,15.0,11
QuestRun,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
We. The Revolution,69.5,45.0,2.5,3.35,32.0,512.0,1013.0,10.05,11.0,16.5,64.85,764,1064,4.0,4.0,11
Sweet House,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,764,1064,4.0,4.0,9
Chaos Legion,0.0,180.0,1.0,1.415,180.0,64.0,358.0,7.55,0.0,0.0,5.050000000000001,98,0,0.0,1.0,8
The Elder Scrolls V: Dragonborn,66.5,65.0,2.0,2.73,45.0,256.0,400.0,10.1,0.0,0.0,6.4,132,764,1.0,1.0,9
